TERYT,Jednostka terytorialna,Komisja otrzymała kart do głosowania,Liczba wyborców uprawnionych do głosowania,w tym umieszczonych w części A spisu wyborców,w tym umieszczonych w części B spisu wyborców,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",w tym w części A spisu wyborców,w tym w części B spisu wyborców,Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu","Liczba kopert zwrotnych, w których oświadczenie nie było podpisane","Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania","Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania",Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert na kartę do głosowania,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów,w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata,Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI - ZPOW-603-7/19,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS - ZPOW-603-4/19",KOALICYJNY KOMITET WYBORCZY POLEXIT - KOALICJA - ZPOW-603-14/19,KOMITET WYBORCZY JEDNOŚĆ NARODU - ZPOW-603-11/19,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-603-5/19,KOMITET WYBORCZY RUCH PRAWDZIWA EUROPA - EUROPA CHRISTI - ZPOW-603-9/19,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA - ZPOW-603-8/19,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY - ZPOW-603-3/19,KOMITET WYBORCZY WYBORCÓW KUKIZ'15 - ZPOW-603-1/19,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI - ZPOW-603-6/19
081002,m. Żagań,15268,19756,19756,0,7110,8157,8157,0,6,32,2,2,0,0,0,0,2,8160,2,0,8160,45,24,21,0,8115,4089,97,,,2806,,585,297,241,
081003,gm. Brzeźnica,2235,2917,2917,0,1206,1029,1029,0,2,6,0,0,0,0,0,0,0,1029,0,0,1029,19,13,6,0,1010,316,13,,,545,,48,52,36,
081004,gm. Iłowa,4165,5426,5426,0,2304,1861,1861,0,0,5,0,0,0,0,0,0,0,1861,0,0,1861,20,15,5,0,1841,670,31,,,866,,153,61,60,
081005,gm. Małomice,3209,4157,4157,0,1725,1484,1484,0,5,4,0,0,0,0,0,0,0,1483,0,0,1483,15,10,5,0,1468,752,8,,,565,,59,49,35,
081006,gm. Niegosławice,2687,3493,3493,0,1537,1150,1150,0,2,4,0,0,0,0,0,0,0,1150,0,0,1150,13,9,4,0,1137,289,13,,,718,,46,34,37,
081007,gm. Szprotawa,12571,16301,16300,1,7044,5527,5527,0,2,26,0,0,0,0,0,0,0,5527,0,0,5527,34,24,10,0,5493,2280,58,,,2510,,280,190,175,
081008,gm. Wymiarki,1416,1831,1831,0,870,546,546,0,0,1,0,0,0,0,0,0,0,545,0,0,545,6,5,1,0,539,179,9,,,285,,31,20,15,
081009,gm. Żagań,4352,5654,5654,0,2500,1852,1852,0,1,5,0,0,0,0,0,0,0,1852,0,0,1852,18,11,7,0,1834,780,25,,,755,,124,74,76,
081101,m. Łęknica,1488,1941,1940,1,770,718,717,1,4,12,0,0,0,0,0,0,0,718,0,0,718,10,8,2,0,708,349,14,,,220,,54,45,26,
081102,m. Żary,22672,29221,29220,1,10462,12210,12209,1,8,40,2,1,0,0,0,0,1,12211,1,0,12211,61,31,30,0,12150,5839,152,,,4240,,986,497,436,
081103,gm. Brody,2041,2658,2656,2,1211,830,829,1,0,5,0,0,0,0,0,0,0,830,0,0,830,9,3,6,0,821,296,7,,,329,,49,25,115,
081104,gm. Jasień,4272,5541,5541,0,2537,1735,1735,0,0,5,0,0,0,0,0,0,0,1735,0,0,1735,19,16,3,0,1716,731,30,,,703,,109,87,56,
081105,gm. Lipinki Łużyckie,1984,2580,2580,0,1161,823,823,0,0,1,0,0,0,0,0,0,0,823,0,0,823,13,8,5,0,810,291,15,,,359,,64,44,37,
081106,gm. Lubsko,11450,14568,14567,1,6362,5088,5088,0,2,14,1,1,0,0,0,0,1,5089,1,0,5089,43,24,19,0,5046,2265,79,,,1848,,382,262,210,
081107,gm. Przewóz,1917,2482,2482,0,1052,865,865,0,0,3,0,0,0,0,0,0,0,865,0,0,865,8,6,2,0,857,234,14,,,466,,68,40,35,
081108,gm. Trzebiel,3492,4537,4537,0,2087,1405,1405,0,2,0,0,0,0,0,0,0,0,1405,0,0,1405,23,10,13,0,1382,457,22,,,664,,113,59,67,
081109,gm. Tuplice,1886,2461,2460,1,1133,753,753,0,2,2,0,0,0,0,0,0,0,753,0,0,753,12,7,5,0,741,348,9,,,250,,62,31,41,
081110,gm. Żary,7361,9601,9601,0,3991,3370,3370,0,3,8,0,0,0,0,0,0,0,3370,0,0,3370,28,21,7,0,3342,1255,45,,,1498,,248,141,155,
081201,gm. Sława,7636,10015,10015,0,3951,3685,3685,0,4,72,0,0,0,0,0,0,0,3685,0,0,3685,39,24,15,0,3646,1425,49,,,1667,,266,138,101,
081202,gm. Szlichtyngowa,3059,3962,3960,2,1674,1385,1384,1,0,0,0,0,0,0,0,0,0,1385,0,1,1384,18,16,2,0,1366,329,14,,,856,,67,57,43,
081203,gm. Wschowa,12778,16558,16558,0,6870,5908,5908,0,3,39,0,0,0,0,0,0,0,5907,0,0,5907,68,49,19,0,5839,2032,78,,,3015,,308,224,182,
086101,m. Gorzów Wielkopolski,72771,93916,93915,1,28927,43841,43841,0,40,172,4,4,0,0,0,0,4,43841,4,0,43841,230,112,118,0,43611,21935,509,,,14986,,3292,1762,1127,
086201,m. Zielona Góra,82238,106022,106018,4,27182,55055,55053,2,48,256,5,5,1,0,0,0,5,55053,5,4,55049,243,116,127,0,54806,31220,521,,,14836,,4574,2007,1648,
100101,m. Bełchatów,36143,45685,45685,0,14674,21469,21469,0,10,54,0,0,0,0,0,0,0,21467,0,0,21467,161,101,60,0,21306,5756,421,,,11775,,914,1674,766,
100102,gm. Bełchatów,6968,9116,9115,1,2634,4334,4334,0,2,7,0,0,0,0,0,0,0,4334,0,0,4334,21,10,11,0,4313,716,71,,,2901,,148,287,190,
100103,gm. Drużbice,3181,4320,4320,0,1395,1786,1786,0,3,14,0,0,0,0,0,0,0,1786,0,0,1786,15,10,5,0,1771,324,20,,,1230,,73,73,51,
100104,gm. Kleszczów,3516,4577,4577,0,1726,1790,1790,0,1,12,0,0,0,0,0,0,0,1790,0,0,1790,21,9,12,0,1769,340,41,,,1103,,72,137,76,
100105,gm. Kluki,2718,3565,3565,0,1227,1491,1491,0,1,3,0,0,0,0,0,0,0,1491,0,0,1491,10,5,5,0,1481,216,21,,,1078,,59,71,36,
100106,gm. Rusiec,3228,4224,4224,0,1237,1991,1991,0,4,10,0,0,0,0,0,0,0,1991,0,0,1991,19,17,2,0,1972,303,44,,,1377,,52,73,123,
100107,gm. Szczerców,5046,6595,6595,0,2071,2975,2975,0,6,15,0,0,0,0,0,0,0,2975,0,0,2975,44,27,17,0,2931,512,58,,,1960,,95,170,136,
100108,gm. Zelów,9194,11948,11948,0,4180,5014,5014,0,0,10,0,0,0,0,0,0,0,5014,0,0,5014,59,37,22,0,4955,974,98,,,3249,,207,224,203,
100201,m. Kutno,28252,36239,36236,3,11951,16297,16294,3,25,60,3,3,0,0,0,0,3,16302,3,0,16302,149,93,56,0,16153,6533,309,,,7257,,922,585,547,
100202,gm. Bedlno,3495,4544,4544,0,1845,1650,1650,0,0,7,0,0,0,0,0,0,0,1650,0,0,1650,17,10,7,0,1633,351,44,,,1050,,50,69,69,
100203,gm. Dąbrowice,1229,1626,1626,0,627,602,602,0,4,4,0,0,0,0,0,0,0,602,0,0,602,15,10,5,0,587,110,15,,,407,,23,16,16,
100204,gm. Krośniewice,5227,6828,6828,0,2805,2422,2422,0,4,5,0,0,0,0,0,0,0,2421,0,0,2421,33,20,13,0,2388,649,52,,,1428,,104,68,87,
100205,gm. Krzyżanów,2626,3452,3452,0,1345,1281,1281,0,1,0,0,0,0,0,0,0,0,1281,0,0,1281,24,15,9,0,1257,295,21,,,828,,37,37,39,
100206,gm. Kutno,5385,7020,7020,0,2597,2788,2788,0,2,4,0,0,0,0,0,0,0,2788,0,0,2788,24,19,5,0,2764,775,52,,,1572,,133,115,117,
100207,gm. Łanięta,1486,1910,1910,0,873,613,613,0,0,0,0,0,0,0,0,0,0,613,0,0,613,4,3,1,0,609,100,15,,,420,,20,28,26,
100208,gm. Nowe Ostrowy,2205,2888,2888,0,1202,1003,1003,0,1,1,0,0,0,0,0,0,0,1003,0,0,1003,13,9,4,0,990,247,19,,,602,,47,34,41,
100209,gm. Oporów,1590,2068,2068,0,810,780,780,0,0,2,0,0,0,0,0,0,0,780,0,0,780,5,3,2,0,775,141,14,,,557,,22,23,18,
100210,gm. Strzelce,2441,3211,3211,0,1217,1224,1224,0,2,11,0,0,0,0,0,0,0,1224,0,0,1224,21,13,8,0,1203,249,20,,,829,,37,26,42,
100211,gm. Żychlin,7524,9812,9812,0,3840,3684,3684,0,8,7,0,0,0,0,0,0,0,3684,0,0,3684,52,39,13,0,3632,1249,68,,,1849,,226,132,108,
100301,gm. Buczek,3100,4063,4063,0,1323,1777,1777,0,0,6,0,0,0,0,0,0,0,1777,0,0,1777,18,11,7,0,1759,425,41,,,1069,,77,64,83,
100302,gm. Łask,17192,22461,22461,0,7096,10096,10096,0,10,45,0,0,0,0,0,0,0,10096,0,0,10096,86,50,36,0,10010,3738,171,,,4621,,679,443,358,
100303,gm. Sędziejowice,3989,5234,5234,0,1788,2201,2201,0,0,13,0,0,0,0,0,0,0,2201,0,0,2201,14,9,5,0,2187,504,34,,,1420,,74,100,55,
100304,gm. Widawa,4777,6265,6265,0,2195,2582,2582,0,4,13,0,0,0,0,0,0,0,2582,0,0,2582,29,18,11,0,2553,484,44,,,1741,,98,96,90,
100305,gm. Wodzierady,2120,2794,2794,0,886,1234,1234,0,1,15,0,0,0,0,0,0,0,1234,0,0,1234,20,15,5,0,1214,403,26,,,639,,69,36,41,
100401,m. Łęczyca,8937,11530,11530,0,4055,4882,4882,0,6,15,0,0,0,0,0,0,0,4882,0,0,4882,51,35,16,0,4831,2226,126,,,1827,,283,211,158,
100402,gm. Daszyna,2480,3251,3250,1,1439,1041,1041,0,0,1,0,0,0,0,0,0,0,1041,0,0,1041,11,5,6,0,1030,201,16,,,714,,33,32,34,
100403,gm. Góra Świętej Małgorzaty,2747,3593,3592,1,1401,1346,1346,0,3,7,0,0,0,0,0,0,0,1346,0,0,1346,24,14,10,0,1322,200,25,,,975,,36,51,35,
100404,gm. Grabów,3787,4982,4982,0,2062,1725,1725,0,4,9,0,0,0,0,0,0,0,1725,0,0,1725,12,8,4,0,1713,313,43,,,1205,,51,52,49,
100405,gm. Łęczyca,6145,7817,7817,0,3385,2760,2760,0,1,4,0,0,0,0,0,0,0,2760,0,4,2756,38,20,18,0,2718,579,57,,,1796,,91,93,102,
100406,gm. Piątek,3738,4932,4931,1,1851,1887,1886,1,2,6,0,0,0,0,0,0,0,1887,0,0,1887,14,7,7,0,1873,389,25,,,1308,,45,56,50,
100407,gm. Świnice Warckie,2457,3238,3238,0,1223,1234,1234,0,0,7,0,0,0,0,0,0,0,1234,0,0,1234,12,9,3,0,1222,300,23,,,790,,45,35,29,
100408,gm. Witonia,2079,2722,2722,0,1062,1017,1017,0,0,3,0,0,0,0,0,0,0,1017,0,0,1017,21,10,11,0,996,201,17,,,652,,38,45,43,
100501,m. Łowicz,18198,23458,23458,0,7274,10924,10924,0,3,29,0,0,0,0,0,0,0,10923,0,0,10923,108,70,38,0,10815,4332,159,,,4854,,535,421,514,
100502,gm. Bielawy,3583,4552,4552,0,1860,1723,1723,0,1,12,0,0,0,0,0,0,0,1723,0,0,1723,25,10,15,0,1698,387,26,,,1127,,41,61,56,
100503,gm. Chąśno,1850,2428,2428,0,843,1007,1007,0,0,6,0,0,0,0,0,0,0,1007,0,0,1007,12,9,3,0,995,212,15,,,659,,8,51,50,
100504,gm. Domaniewice,2819,3702,3702,0,1256,1563,1563,0,2,8,0,0,0,0,0,0,0,1563,0,0,1563,15,13,2,0,1548,311,19,,,1012,,43,85,78,
100505,gm. Kiernozia,2150,2790,2790,0,1035,1115,1115,0,2,1,0,0,0,0,0,0,0,1115,0,0,1115,20,12,8,0,1095,211,16,,,768,,14,41,45,
100506,gm. Kocierzew Południowy,2648,3474,3474,0,1131,1517,1517,0,1,2,0,0,0,0,0,0,0,1517,0,0,1517,15,11,4,0,1502,218,18,,,1127,,18,43,78,
100507,gm. Łowicz,4725,6224,6224,0,2045,2680,2680,0,0,4,0,0,0,0,0,0,0,2680,0,0,2680,15,9,6,0,2665,613,45,,,1672,,87,103,145,
100508,gm. Łyszkowice,4081,5355,5355,0,2099,1982,1982,0,0,10,0,0,0,0,0,0,0,1982,0,0,1982,31,21,10,0,1951,377,32,,,1349,,50,62,81,
100509,gm. Nieborów,5810,7604,7604,0,2468,3342,3342,0,2,10,1,1,0,0,0,0,1,3343,1,0,3343,29,22,7,0,3314,736,54,,,2089,,137,126,172,
100510,gm. Zduny,3577,4684,4684,0,1643,1934,1934,0,1,12,0,0,0,0,0,0,0,1934,0,0,1934,23,13,10,0,1911,561,27,,,1106,,50,75,92,
100602,gm. Andrespol,8380,11007,11007,0,2487,5893,5893,0,6,24,0,0,0,0,0,0,0,5893,0,0,5893,38,26,12,0,5855,2391,133,,,2450,,360,258,263,
100603,gm. Brójce,4018,5231,5231,0,1334,2684,2684,0,2,7,0,0,0,0,0,0,0,2684,0,0,2684,16,10,6,0,2668,844,36,,,1478,,108,100,102,
100607,gm. Koluszki,14267,18578,18578,0,5198,9169,9169,0,4,40,0,0,0,0,0,0,0,9169,0,0,9169,60,38,22,0,9109,3266,184,,,4383,,481,427,368,
100608,gm. Nowosolna,3108,3950,3950,0,787,2321,2321,0,0,17,0,0,0,0,0,0,0,2321,0,0,2321,22,14,8,0,2299,1204,41,,,732,,158,89,75,
100610,gm. Rzgów,6044,7935,7935,0,1764,4280,4280,0,2,16,0,0,0,0,0,0,0,4280,0,0,4280,24,16,8,0,4256,1561,52,,,2060,,212,222,149,
100611,gm. Tuszyn,7702,9990,9990,0,3187,4515,4515,0,4,31,0,0,0,0,0,0,0,4515,0,0,4515,30,18,12,0,4485,1570,102,,,2212,,239,207,155,
100701,gm. Białaczów,3637,4744,4743,1,1774,1863,1863,0,3,7,0,0,0,0,0,0,0,1863,0,0,1863,14,11,3,0,1849,314,35,,,1334,,53,69,44,
100702,gm. Drzewica,6616,8622,8622,0,2487,4129,4129,0,1,12,0,0,0,0,0,0,0,4129,0,0,4129,44,32,12,0,4085,636,82,,,2981,,101,133,152,
100703,gm. Mniszków,2899,3833,3833,0,1169,1730,1730,0,1,21,0,0,0,0,0,0,0,1730,0,0,1730,21,13,8,0,1709,260,17,,,1314,,33,45,40,
100704,gm. Opoczno,21030,27303,27303,0,8027,13003,13003,0,18,37,2,2,0,0,0,0,2,13005,2,1,13004,120,78,42,0,12884,3179,242,,,7858,,451,545,609,
100705,gm. Paradyż,2680,3529,3529,0,725,1955,1955,0,12,14,0,0,0,0,0,0,0,1955,0,0,1955,21,13,8,0,1934,142,21,,,1653,,18,50,50,
100706,gm. Poświętne,2059,2687,2687,0,716,1343,1343,0,3,10,0,0,0,0,0,0,0,1343,0,0,1343,16,12,4,0,1327,184,15,,,1012,,22,53,41,
100707,gm. Sławno,4608,6024,6024,0,1882,2726,2726,0,2,3,0,0,0,0,0,0,0,2726,0,0,2726,26,13,13,0,2700,352,46,,,2069,,35,95,103,
100708,gm. Żarnów,3843,5025,5025,0,1624,2219,2219,0,7,21,0,0,0,0,0,0,0,2219,0,0,2219,19,8,11,0,2200,355,39,,,1586,,58,81,81,
100801,m. Konstantynów Łódzki,11187,14560,14559,1,3973,7214,7214,0,4,14,0,0,0,0,0,0,0,7213,0,2,7211,49,31,18,0,7162,3156,116,,,2723,,477,338,352,
100802,m. Pabianice,39952,51786,51786,0,14268,25684,25684,0,47,49,1,1,0,0,0,0,1,25669,1,13,25656,180,99,81,0,25476,11260,504,,,9759,,2078,1089,786,
100803,gm. Dłutów,2828,3714,3714,0,1219,1609,1609,0,0,3,0,0,0,0,0,0,0,1609,0,0,1609,10,7,3,0,1599,484,24,,,883,,93,66,49,
100804,gm. Dobroń,4644,6100,6100,0,1637,3007,3007,0,12,21,0,0,0,0,0,0,0,3007,0,0,3007,28,16,12,0,2979,1040,54,,,1391,,216,135,143,
100805,gm. Ksawerów,4691,6127,6127,0,1506,3185,3185,0,3,20,0,0,0,0,0,0,0,3185,0,0,3185,28,13,15,0,3157,1321,52,,,1263,,224,164,133,
100806,gm. Lutomiersk,5077,6677,6675,2,2082,2995,2994,1,7,13,0,0,0,0,0,0,0,2995,0,0,2995,15,8,7,0,2980,1172,55,,,1277,,193,142,141,
100807,gm. Pabianice,4267,5616,5615,1,1357,2910,2909,1,2,6,0,0,0,0,0,0,0,2910,0,1,2909,23,9,14,0,2886,1008,50,,,1386,,181,128,133,
100901,gm. Działoszyn,7792,10115,10115,0,3501,4291,4291,0,6,15,0,0,0,0,0,0,0,4291,0,0,4291,44,24,20,0,4247,1001,62,,,2395,,173,172,444,
100902,gm. Kiełczygłów,2610,3411,3411,0,1063,1547,1547,0,3,13,0,0,0,0,0,0,0,1546,0,0,1546,18,10,8,0,1528,181,20,,,1186,,42,44,55,
100903,gm. Nowa Brzeźnica,2899,3819,3818,1,1359,1540,1540,0,2,9,0,0,0,0,0,0,0,1540,0,0,1540,13,10,3,0,1527,305,32,,,1027,,55,47,61,
100904,gm. Pajęczno,7319,9521,9521,0,3377,3941,3941,0,4,12,0,0,0,0,0,0,0,3942,0,0,3942,27,16,11,0,3915,1022,61,,,2304,,182,143,203,
100905,gm. Rząśnia,3040,3974,3974,0,1192,1848,1848,0,7,7,0,0,0,0,0,0,0,1846,0,0,1846,18,8,10,0,1828,249,30,,,1348,,59,82,60,
100906,gm. Siemkowice,3010,3951,3951,0,1415,1595,1595,0,7,8,0,0,0,0,0,0,0,1595,0,1,1594,24,10,14,0,1570,271,28,,,1075,,53,56,87,
100907,gm. Strzelce Wielkie,2880,3758,3758,0,1387,1493,1493,0,0,3,0,0,0,0,0,0,0,1493,0,0,1493,13,12,1,0,1480,210,17,,,1075,,45,53,80,
100908,gm. Sulmierzyce,2816,3687,3687,0,1123,1693,1693,0,0,9,0,0,0,0,0,0,0,1693,0,0,1693,25,15,10,0,1668,276,31,,,1160,,47,71,83,
101001,gm. Aleksandrów,2846,3751,3751,0,1202,1644,1644,0,6,21,0,0,0,0,0,0,0,1643,0,0,1643,25,13,12,0,1618,289,31,,,1158,,39,51,50,
101002,gm. Czarnocin,2478,3277,3277,0,987,1491,1491,0,1,3,0,0,0,0,0,0,0,1491,0,0,1491,10,9,1,0,1481,293,15,,,990,,51,80,52,
101003,gm. Gorzkowice,5254,6892,6892,0,2338,2916,2916,0,3,13,0,0,0,0,0,0,0,2916,0,0,2916,25,20,5,0,2891,508,52,,,2049,,78,110,94,
101004,gm. Grabica,3650,4789,4789,0,1665,1985,1985,0,0,5,0,0,0,0,0,0,0,1985,0,0,1985,14,8,6,0,1971,292,32,,,1473,,46,66,62,
101005,gm. Łęki Szlacheckie,2204,2905,2904,1,1165,1039,1039,0,0,17,0,0,0,0,0,0,0,1039,0,0,1039,7,4,3,0,1032,153,19,,,761,,27,22,50,
101006,gm. Moszczenica,7856,10242,10242,0,3329,4527,4527,0,4,18,0,0,0,0,0,0,0,4527,0,0,4527,40,18,22,0,4487,853,71,,,2984,,161,223,195,
101007,gm. Ręczno,2270,2983,2983,0,950,1320,1320,0,2,15,0,0,0,0,0,0,0,1318,0,0,1318,17,8,9,0,1301,250,25,,,883,,31,53,59,
101008,gm. Rozprza,7334,9607,9607,0,3438,3896,3896,0,3,6,0,0,0,0,0,0,0,3896,0,0,3896,43,21,22,0,3853,711,64,,,2700,,98,119,161,
101009,gm. Sulejów,9963,13056,13056,0,4060,5903,5903,0,9,40,0,0,0,0,0,0,0,5903,0,0,5903,50,31,19,0,5853,1501,108,,,3543,,242,226,233,
101010,gm. Wola Krzysztoporska,7159,9372,9372,0,3017,4142,4142,0,0,7,0,0,0,0,0,0,0,4142,0,0,4142,42,27,15,0,4100,566,47,,,3083,,102,142,160,
101011,gm. Wolbórz,4875,6332,6331,1,1791,3084,3084,0,2,14,0,0,0,0,0,0,0,3084,0,0,3084,20,14,6,0,3064,708,65,,,1875,,122,171,123,
101101,gm. Dalików,2397,3175,3175,0,1083,1315,1315,0,0,4,0,0,0,0,0,0,0,1315,0,0,1315,12,8,4,0,1303,360,21,,,785,,49,40,48,
101102,gm. Pęczniew,2190,2890,2890,0,964,1226,1226,0,6,21,0,0,0,0,0,0,0,1226,0,0,1226,13,8,5,0,1213,297,21,,,773,,47,46,29,
101103,gm. Poddębice,9714,12673,12673,0,4440,5274,5274,0,2,32,0,0,0,0,0,0,0,5274,0,1,5273,69,41,28,0,5204,1915,95,,,2584,,252,192,166,
101104,gm. Uniejów,4396,5799,5799,0,1846,2550,2550,0,2,15,0,0,0,0,0,0,0,2550,0,0,2550,25,15,10,0,2525,656,48,,,1568,,82,81,90,
101105,gm. Wartkowice,3892,5062,5062,0,2272,1620,1620,0,1,3,0,0,0,0,0,0,0,1620,0,0,1620,16,12,4,0,1604,305,55,,,1057,,64,73,50,
101106,gm. Zadzim,3200,4184,4184,0,1477,1723,1723,0,1,6,0,0,0,0,0,0,0,1723,0,0,1723,22,15,7,0,1701,441,38,,,1043,,56,55,68,
101201,m. Radomsko,28709,37288,37287,1,12904,15809,15809,0,10,68,1,0,0,0,0,0,0,15808,0,0,15808,89,67,22,0,15719,5927,262,,,7103,,1379,529,519,
101202,gm. Dobryszyce,2648,3481,3481,0,1252,1396,1396,0,3,6,0,0,0,0,0,0,0,1396,0,0,1396,14,10,4,0,1382,381,24,,,771,,73,70,63,
101203,gm. Gidle,3930,5136,5136,0,1971,1959,1959,0,5,19,1,1,0,0,0,0,1,1960,1,0,1960,20,13,7,0,1940,482,53,,,1151,,84,85,85,
101204,gm. Gomunice,3639,4731,4731,0,1560,2079,2079,0,6,5,0,0,0,0,0,0,0,2079,0,0,2079,30,15,15,0,2049,498,37,,,1257,,101,82,74,
101205,gm. Kamieńsk,3650,4773,4773,0,1499,2151,2151,0,3,5,0,0,0,0,0,0,0,2151,0,0,2151,24,18,6,0,2127,358,19,,,1516,,73,85,76,
101206,gm. Kobiele Wielkie,2720,3558,3558,0,1430,1290,1290,0,0,8,0,0,0,0,0,0,0,1290,0,0,1290,17,7,10,0,1273,346,21,,,732,,80,43,51,
101207,gm. Kodrąb,2876,3780,3780,0,1499,1376,1376,0,1,7,0,0,0,0,0,0,0,1377,0,0,1377,15,9,6,0,1362,301,30,,,866,,61,54,50,
101208,gm. Lgota Wielka,2660,3480,3480,0,1234,1426,1426,0,2,5,0,0,0,0,0,0,0,1426,0,0,1426,18,9,9,0,1408,263,28,,,970,,55,50,42,
101209,gm. Ładzice,2990,3898,3898,0,1624,1366,1366,0,0,0,1,1,0,0,0,0,1,1367,1,0,1367,15,6,9,0,1352,303,18,,,868,,73,44,46,
101210,gm. Masłowice,2628,3464,3464,0,1261,1367,1367,0,2,7,0,0,0,0,0,0,0,1367,0,0,1367,15,8,7,0,1352,251,34,,,922,,55,33,57,
101211,gm. Przedbórz,4572,6008,6007,1,2241,2331,2331,0,6,23,1,1,0,0,0,0,1,2332,1,0,2332,42,32,10,0,2290,448,32,,,1414,,64,83,249,
101212,gm. Radomsko,3409,4447,4447,0,1632,1777,1777,0,0,6,0,0,0,0,0,0,0,1777,0,0,1777,9,6,3,0,1768,427,25,,,1020,,134,89,73,
101213,gm. Wielgomłyny,2882,3776,3776,0,1484,1398,1398,0,2,10,0,0,0,0,0,0,0,1398,0,0,1398,24,17,7,0,1374,197,26,,,1016,,55,40,40,
101214,gm. Żytno,3270,4311,4311,0,1561,1709,1709,0,0,25,0,0,0,0,0,0,0,1709,0,0,1709,23,15,8,0,1686,272,43,,,1205,,56,42,68,
101301,m. Rawa Mazowiecka,10594,13767,13767,0,4019,6573,6573,0,4,28,0,0,0,0,0,0,0,6571,0,2,6569,47,30,17,0,6522,2287,137,,,3264,,289,295,250,
101302,gm. Biała Rawska,6988,9155,9155,0,3534,3454,3454,0,1,4,0,0,0,0,0,0,0,3454,0,0,3454,40,28,12,0,3414,694,73,,,2173,,112,237,125,
101303,gm. Cielądz,2468,3219,3219,0,1240,1228,1228,0,0,1,0,0,0,0,0,0,0,1228,0,0,1228,19,15,4,0,1209,142,20,,,925,,21,62,39,
101304,gm. Rawa Mazowiecka,5306,6945,6945,0,2542,2764,2764,0,1,14,0,0,0,0,0,0,0,2763,0,0,2763,28,15,13,0,2735,509,56,,,1876,,81,124,89,
101305,gm. Regnów,1140,1491,1491,0,530,610,610,0,1,0,0,0,0,0,0,0,0,610,0,2,608,12,6,6,0,596,78,13,,,462,,16,17,10,
101306,gm. Sadkowice,3387,4481,4481,0,1665,1722,1722,0,2,4,0,0,0,0,0,0,0,1722,0,0,1722,23,9,14,0,1699,204,32,,,1190,,34,180,59,
101401,m. Sieradz,27224,34607,34606,1,10618,16606,16606,0,17,61,3,3,0,0,0,0,3,16609,3,1,16608,148,86,62,0,16460,6510,412,,,7124,,1037,818,559,
101402,gm. Błaszki,8645,11762,11762,0,4092,4552,4552,0,4,24,0,0,0,0,0,0,0,4553,0,0,4553,67,41,26,0,4486,1062,66,,,2926,,140,163,129,
101403,gm. Brąszewice,2689,3554,3554,0,1188,1501,1501,0,0,4,0,0,0,0,0,0,0,1501,0,0,1501,12,6,6,0,1489,173,30,,,1118,,28,70,70,
101404,gm. Brzeźnio,3874,5066,5066,0,1778,2096,2096,0,0,4,0,0,0,0,0,0,0,2096,0,0,2096,17,10,7,0,2079,541,39,,,1277,,74,78,70,
101405,gm. Burzenin,3397,4460,4460,0,1672,1725,1725,0,0,13,0,0,0,0,0,0,0,1725,0,0,1725,35,28,7,0,1690,355,31,,,1064,,106,71,63,
101406,gm. Goszczanów,3376,4388,4388,0,1894,1482,1482,0,2,9,0,0,0,0,0,0,0,1482,0,0,1482,12,7,5,0,1470,244,27,,,1054,,44,45,56,
101407,gm. Klonowa,1760,2316,2316,0,834,926,926,0,2,2,0,0,0,0,0,0,0,926,0,0,926,8,5,3,0,918,162,6,,,673,,32,20,25,
101408,gm. Sieradz,6400,8325,8325,0,2804,3596,3596,0,0,3,0,0,0,0,0,0,0,3596,0,0,3596,34,14,20,0,3562,795,58,,,2303,,146,140,120,
101409,gm. Warta,8314,10274,10274,0,4276,4038,4038,0,3,8,0,0,0,0,0,0,0,4036,0,1,4035,62,47,15,0,3973,875,100,,,2553,,159,153,133,
101410,gm. Wróblew,3770,4925,4925,0,1731,2039,2039,0,1,11,0,0,0,0,0,0,0,2037,0,0,2037,26,16,10,0,2011,359,35,,,1369,,75,93,80,
